pub_title	source_url	raw_data_format	dataset_identifier	data_repository	dataset_context_from_paper	dataset_keywords	citation_type	dataset_webpage	access_mode
Synaptic protein CSF levels relate to memory scores in individuals without dementia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11302699/	XML	PXD019910	proteomecentral.proteomexchange.org	Raw proteomic data from EMIF-AD MBD submitted to ProteomeXchange Consortium through PRIDE partner repository. Contains cerebrospinal fluid proteomics data measured using tandem mass tag (TMT) technique. Data includes measurements from cognitively normal individuals and those with mild cognitive impairment across different amyloid and cognitive status groups.	proteomics, cerebrospinal fluid, mass spectrometry	Primary	https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD019910	Complex download
Synaptic protein CSF levels relate to memory scores in individuals without dementia	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11302699/	XML	ADNI	adni.loni.usc.edu	Alzheimer's Disease Neuroimaging Initiative. Public-private partnership launched in 2003, led by Principal Investigator Michael W. Weiner. Primary goal to test whether serial MRI, PET, other biological markers, and clinical and neuropsychological assessment can measure progression of mild cognitive impairment and early Alzheimer's disease. CN defined as absence of memory complaints, normal scores on Logical Memory II subscale, MMSE score ≥24 and CDR of 0. MCI defined by memory complaint, abnormal scores on Logical Memory II subscale, MMSE ≥24 and CDR of 0.5. Proteomic data generated using LC/MS-MRM and Rules-Based Medicine (RBM) platform. 36 synaptic proteins selected from 202 total proteins measured. Pre-processed and quality checked normalized data publicly available on ADNI website.	neuroimaging, cognitive assessment, biomarkers	Secondary		
Is the association between blood pressure and cognition in the oldest-old modified by physical, vascular or brain pathology markers? The EMIF-AD 90 + Study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10640754/	XML		emif-ad portal	The EMIF-AD 90+ Study is a case-control study including 122 individuals (84 without cognitive impairment and 38 with cognitive impairment) aged 90 years and older. The study aimed to establish protective factors for cognitive impairment in the oldest-old. Individuals were recruited from June 2016 to July 2018 via advertisement, outreach to general practitioners, and the 100-plus Study. The study included extensive phenotyping with physical markers (waist circumference, muscle mass, gait speed, handgrip strength), vascular markers (cardiac disease history, carotid intima media thickness, carotid distensibility coefficient), and brain pathology markers (white matter hyperintensities, cortical thickness) assessed via MRI. Cognitive testing included 14 tests across memory, processing speed, and executive functioning domains. Blood pressure was measured three times using a sphygmomanometer, with seven individuals measured using a digital photoplethysmogram (Nexfin). The study was registered in the Nederlands Trial Register NTR5867 on 20 May 2016.	oldest-old, cognitive impairment, blood pressure, neuroimaging	Primary		
Multivariate GWAS of Alzheimer’s disease CSF biomarker profiles implies	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10548686/	XML	EMIF-AD	emif-catalogue.eu	The European Medical Information Framework for Alzheimer's Disease Multimodal Biomarker Discovery (EMIF-AD MBD) study is a consortium of European studies investigating the etiology of AD and AD biomarkers. Participants included elderly individuals with cognitively unimpaired individuals, mild cognitive impairment (MCI), and AD type dementia. Both deep phenotyping (such as brain imaging and determination of CSF biomarkers) and genotyping (SNP arrays and WES) were performed on a large number of EMIF-AD participants. The current study utilizes the existing CSF biomarker and SNP array data.	Alzheimer's disease, cerebrospinal fluid biomarkers, neuroimaging	Secondary		
Multivariate GWAS of Alzheimer’s disease CSF biomarker profiles implies	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10548686/	XML	ADNI	adni.loni.usc.edu	The Alzheimer's Disease Neuroimaging Initiative (ADNI) was launched in 2003 as a public-private partnership. The primary goal of ADNI has been to test whether serial magnetic resonance imaging, positron emission tomography, other biological markers, and clinical and neuropsychological assessment can be combined to measure the progression of MCI and early AD. The current study utilized CSF biomarker and SNP genotype data from ADNI to increase generalizability of effect estimates and power to detect new associations.	Alzheimer's disease, neuroimaging, biomarkers, longitudinal	Secondary		
Multivariate GWAS of Alzheimer’s disease CSF biomarker profiles implies	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10548686/	XML	Knight-ADRC	www.knightadrc.wustl.edu	The Knight Alzheimer Disease Research Center (Knight-ADRC) cohort was used to assess novel findings from the main GWAS analyses. Applying the same inclusion criteria, 786 participants with sufficient genotype and phenotype/CSF data were selected. These were on average 69 years old and 46.95% male, 21.12% had MCI, and 4.71% AD.	Alzheimer's disease, cerebrospinal fluid, genotyping	Secondary		
Multivariate GWAS of Alzheimer’s disease CSF biomarker profiles implies	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10548686/	XML	ROS/MAP	adknowledgeportal.org	Prediction weights for TWAS fine-mapping analyses were previously computed based on expression in the dorsolateral prefrontal cortex of ROS/MAP participants with AD, MCI, or healthy controls as obtained from the AMP-AD RNAseq Harmonization Study. This dataset includes a relatively large number of samples of a relevant tissue in a population similar to the current study.	gene expression, brain tissue, Alzheimer's disease	Secondary		
Objectively Measured Daytime Napping Patterns and All-Cause Mortality in Older Adults	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13096975/	XML		rush university medical center	This prospective cohort study used data from the population-based Rush Memory and Aging Project, a clinical-pathologic cohort study initiated in 1997. Participants were community-dwelling adults aged 56 years or older in northern Illinois, recruited from retirement communities, senior and subsidized housing, and church groups. Beginning August 2005, wrist actigraphy (Actical [Philips Respironics]) was incorporated as an annual assessment. The analytic baseline was each participant's first actigraphy assessment. Mortality outcomes were tracked through April 2025. Among 1401 participants who completed actigraphy monitoring, 1338 were included in analyses (mean age 81.40 years, 76.0% female). Participants wore the actigraphy device for a mean of 9.58 days. The study examined associations between objectively measured daytime nap characteristics (duration, frequency, variability, and timing) and all-cause mortality over up to 19 years of follow-up.	actigraphy, daytime napping, older adults, mortality	Primary		
Identifying transcriptomic signatures that mediate the causal effect of genotype on Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13044590/	XML	syn3157325	synapse.org	Genotype matrix from the ROSMAP study obtained from the AMP-AD Knowledge Portal. Genotype data were derived from SNP genotyping arrays and used as input for HDMA analysis to identify transcriptomic signatures mediating genetic effects on Alzheimer's disease.	genotype, SNP arrays, ROSMAP	Secondary	https://www.synapse.org/[#!]*Synapse:syn3157325	Complex download or application to access
Identifying transcriptomic signatures that mediate the causal effect of genotype on Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13044590/	XML	syn23650893	synapse.org	Gene expression matrix from the ROSMAP study obtained from the AMP-AD Knowledge Portal. Transcriptomic profiles were from the dorsolateral prefrontal cortex of the brain post-mortem and were logarithmically transformed and adjusted using sex, years of education, and age at death as covariates.	transcriptome, gene expression, brain tissue	Secondary	https://www.synapse.org/[#!]*Synapse:syn23650893	Complex download or application to access
Identifying transcriptomic signatures that mediate the causal effect of genotype on Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13044590/	XML	syn3191087	synapse.org	Combined covariate and phenotype dataset from the ROSMAP study available on Synapse. Clinical phenotypes included mini-mental state exam score, Braak score, CERAD score, and cognitive diagnosis measures used to create composite phenome scores.	clinical phenotypes, cognitive assessment, pathology scores	Secondary	https://www.synapse.org/[#!]*Synapse:syn3191087	Complex download or application to access
Identifying transcriptomic signatures that mediate the causal effect of genotype on Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13044590/	XML	syn8691134	synapse.org	Normalized read counts from RNA sequencing of ROSMAP samples. These data were logarithmically transformed and adjusted for covariates to generate gene expression matrices used in HDMA analysis.	RNA-seq, normalized counts, transcriptomics	Secondary	https://www.synapse.org/[#!]*Synapse:syn8691134	Complex download or application to access
Association of the Planetary Health Diet with dementia risk and brain pathology	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13045258/	XML		www.radc.rush.edu	Rush MAP is an ongoing longitudinal clinical–pathologic study of aging and dementia comprising older adults living in retirement communities, senior housing, and individual residences in the greater Chicago area. From 1997 onward, participants underwent annual clinical evaluations, cognitive testing, risk factor assessments, and blood collection. In 2004, a nutrition sub-study was introduced with participants completing a validated, self-administered >142-item food-frequency questionnaire (FFQ) to assess dietary intake annually. As of July 1, 2024, the MAP had enrolled 2357 participants, of whom 1060 had complete FFQ dietary data. The final analytic sample comprised 926 dementia-free individuals followed for up to 20 years with median 7.5-year follow-up. Among 581 decedents, brain autopsies quantified Alzheimer's disease, vascular, and other pathologies. Cognitive function was measured via a standardized neuropsychological battery of 19 tests assessing multiple cognitive domains.	longitudinal cohort, dietary assessment, dementia, brain pathology, cognitive function	Primary		
Multi-omics characterization of vascular, neurodegenerative, and mixed neuropathology in the aging human brain	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13015379/	XML	ROSMAP	adknowledgeportal.org	The Religious Orders Study and the Rush Memory and Aging Project (ROSMAP) provided detailed longitudinal clinicopathologic characterization of aging and dementia. Participants were enrolled aged 65 years or older, free of known dementia at baseline, and agreed to annual clinical and neuropsychological evaluations as well as postmortem organ donation. The study included neuropathology-stratified proteomic and transcriptomic profiling of postmortem brain tissue from participants classified into three neuropathologically defined groups: neurodegenerative pathology, vascular pathology, and mixed pathology based on comprehensive postmortem assessments. Dorsolateral prefrontal cortex proteomics (n = 733) were analyzed alongside bulk RNA sequencing from dorsolateral prefrontal cortex (n = 938), posterior cingulate cortex (n = 569), and anterior caudate (n = 632).	postmortem brain tissue, proteomics, transcriptomics, neuropathology, Alzheimer's disease	Primary		
Multi-omics characterization of vascular, neurodegenerative, and mixed neuropathology in the aging human brain	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13015379/	XML	syn25741873	synapse.org	Processed RNA-seq data generated in this study are available on Synapse. The data include bulk RNA sequencing from three brain regions (dorsolateral prefrontal cortex, posterior cingulate cortex, and anterior caudate) from ROSMAP participants, with gene-level expression values derived from RNA-seq data normalized using the trimmed mean of M-values (TMM) method and log2-transformed prior to modeling.	RNA sequencing, brain transcriptomics, processed gene expression	Primary	https://www.synapse.org/#!Synapse:syn25741873	Complex download or application to access
Multi-omics characterization of vascular, neurodegenerative, and mixed neuropathology in the aging human brain	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13015379/	XML		adknowledgeplatform.org	The bulk RNA-seq data from three brain regions (dorsolateral prefrontal cortex, posterior cingulate cortex, and anterior caudate), as well as snRNA-seq and proteomics data generated by the Religious Orders Study and the Rush Memory and Aging Project, are available via the AD Knowledge Portal. Single-nucleus RNA sequencing data from DLPFC tissue of ROSMAP participants were obtained from a previously published dataset with nuclei isolated from frozen postmortem brain tissue and profiled to capture transcriptomic variation across brain cell populations. After quality control and filtering, data from 424 participants were retained for downstream analyses.	single-nucleus RNA sequencing, proteomics, cell-type specific transcriptomics	Primary		
Continuous assessment of daily-living gait using self-supervised learning of wrist-worn accelerometer data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13121596/	XML		www.ukbiobank.ac.uk	Large-scale dataset comprising one week of wrist-worn accelerometry recordings (Axivity AX3, 100 Hz sampling rate) from over 100,000 individuals (mean age 62.1 ± 7.9 years). The UK Biobank dataset was used indirectly via the publicly available ResNet deep learning model pre-trained using SSL by Yuan et al. This model served as the fixed feature extraction backbone for ElderNet.	wrist-worn accelerometry, physical activity, general population	Secondary		
Continuous assessment of daily-living gait using self-supervised learning of wrist-worn accelerometer data	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13121596/	XML		www.radc.rush.edu	Includes 819 older adults (mean age 83.4 ± 7.3 years) who wore a wrist accelerometer (Axivity AX3, 50 Hz sampling rate or GENEActiv, 40 Hz sampling rate) for up to 10 consecutive days. This dataset was used in two stages: (i) to adapt ElderNet to the mobility patterns of older adults through additional SSL pretraining, and (ii) to evaluate the clinical utility of ElderNet by classifying mobility disability based on multi-day gait metrics. A subset of 423 individuals also underwent standardized supervised gait assessments.	wrist accelerometry, older adults, gait metrics, mobility disability	Primary		
Repeated measures of physical activity before dementia diagnosis in community-dwelling older adults: a longitudinal study	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13059499/	XML		www.radc.rush.edu	Participants were from the Rush Memory and Aging Project (MAP), an ongoing community-based longitudinal study of ageing. MAP participants were recruited from the community, including retirement centres and subsidised long-term care facilities across northeastern Illinois (USA). From 1997 until the present day, 54 sites have been participating in MAP. Physical activity level was extracted from biennial multiday wrist-wearing sensor recordings (Actical; Philips Healthcare). Dementia diagnosis was based on neuropsychological test scores, clinical history, and examination. The analytical sample included 972 older adults (mean age 80.5 years) with frequent biennial measurements of physical activity (mean 4.9, SD 2.6). 286 (29%) of 972 participants developed dementia, clinically diagnosed as Alzheimer's disease. Median follow-up was 7.0 years (IQR 5.0–10.0; range 1.0–17.0).	physical activity, dementia, longitudinal aging	Primary		
Balanced deep learning on multi-omics networks identifies molecular subgroups of pathological brain aging	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934842/	XML	ROS/MAP	adknowledgeportal.org	The Religious Order Study (ROS) and Rush Memory and Aging Project (MAP) are longitudinal cohort studies of aging and AD. Multi-omics data (transcriptomics, proteomics, metabolomics) from brain tissue (dorsolateral prefrontal cortex) were obtained from the AD Knowledge Portal. The discovery cohort consisted of 356 ROS/MAP participants with all three omics data types available, and the replication cohort consisted of 327 additional ROS/MAP participants with transcriptomics and proteomics data only.	brain multi-omics, transcriptomics, proteomics, metabolomics, Alzheimer's disease	Secondary		
Balanced deep learning on multi-omics networks identifies molecular subgroups of pathological brain aging	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934842/	XML		adknowledgeportal.org	The AD Atlas is a comprehensive network-based integration resource for AD-relevant multi-omics data. Data extraction, graph representation learning and unsupervised clustering were performed on the AD Atlas to identify 25 data-driven multi-omics groups (DAD-MUGs) representing functional multi-omics clusters. An undirected graph was extracted including only brain-specific information without disease information, and vector representations of gene and metabolite nodes were learned through graph embedding.	network analysis, multi-omics integration, Alzheimer's disease pathways	Secondary		
Balanced deep learning on multi-omics networks identifies molecular subgroups of pathological brain aging	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934842/	XML		adknowledgeportal.org	Bulk-tissue RNA-seq data were obtained from the Accelerating Medicines Partnership - Alzheimer's Disease (AMP-AD) RNA-seq Harmonization Study. Aligned reads were converted to FASTQ, aligned to GENCODE24 (GRCh38) reference genome, gene counts computed, and transcript abundance estimated. The final dataset comprised 18,859 genes across 1,092 samples after quality control and normalization using conditional quantile normalization (CQN).	RNA-seq, transcriptomics, gene expression, brain tissue	Secondary		
Balanced deep learning on multi-omics networks identifies molecular subgroups of pathological brain aging	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934842/	XML		adknowledgeportal.org	Isobaric tandem mass tag (TMT) mass spectrometry-based proteomics data were provided through the Accelerating Medicine Partnership for AD. Proteins with measurements outside 95% confidence interval or high missingness were removed. Protein abundances were sample-scaled, log2-transformed, and batch effects removed through regression. Missing values were imputed using k-nearest-neighbors. The final dataset comprised 10,030 proteins across 971 samples.	proteomics, mass spectrometry, protein abundance, brain tissue	Secondary		
Balanced deep learning on multi-omics networks identifies molecular subgroups of pathological brain aging	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934842/	XML	Metabolomics	adknowledgeportal.org	MS-based untargeted metabolomics data were provided by the Alzheimer's Disease Metabolomics Consortium (ADMC). Metabolites with high missingness were removed and concentrations normalized using cross-plate batch normalization and probabilistic quotient normalization. Multivariable outlier samples and single concentration value outliers were removed. Missing values were imputed using kNN. The final dataset comprised 667 metabolites across 509 samples.	metabolomics, mass spectrometry, metabolite profiling, brain tissue	Secondary		
Unravelling Synaptic and Metabolic Mechanisms of Cognitive Resilience in Asymptomatic Alzheimer’s Disease Across Two Alzheimer’s Disease Cohorts	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12996523/	XML	syn17024112	synapse.org	RNA-seq dataset from the Dorsolateral Prefrontal Cortex region of the ROSMAP (Religious Orders Study and Memory and Aging Project) cohort. Raw fastq reads were downloaded from the Synapse platform and used for quality control, trimming, and pseudo-alignment to the GRCh38 human reference transcriptome. The dataset was used to identify differentially expressed genes (DEGs), differentially expressed transcripts (DETs), and differentially used transcripts (DUTs) between asymptomatic Alzheimer's disease (AsymAD) and symptomatic AD groups.	RNA-seq, Alzheimer's disease, transcriptome	Secondary	https://www.synapse.org/[#!]*Synapse:syn17024112	Complex download or application to access
Unravelling Synaptic and Metabolic Mechanisms of Cognitive Resilience in Asymptomatic Alzheimer’s Disease Across Two Alzheimer’s Disease Cohorts	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12996523/	XML	syn7416949	synapse.org	RNA-seq dataset from the Frontal Pole (FP) region of the MSBB (Mount Sinai Brain Bank) cohort. Raw fastq reads were downloaded from the Synapse platform and processed for quality control and trimming. The FP region was selected because it is designated as a 'cognition' region according to Brodmann's area classification. Used for DEG, DET, and DUT analyses comparing AsymAD and AD samples.	RNA-seq, Mount Sinai Brain Bank, cognition region	Secondary	https://www.synapse.org/[#!]*Synapse:syn7416949	Complex download or application to access
Unravelling Synaptic and Metabolic Mechanisms of Cognitive Resilience in Asymptomatic Alzheimer’s Disease Across Two Alzheimer’s Disease Cohorts	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12996523/	XML	syn8612191	synapse.org	RNA-seq dataset from the MSBB (Mount Sinai Brain Bank) cohort. Raw fastq reads were downloaded from the Synapse platform with this accession ID as part of the MSBB dataset collection. Used alongside syn7416949 for comprehensive transcriptomic analysis of Alzheimer's disease samples.	RNA-seq, Mount Sinai Brain Bank, Alzheimer's disease	Secondary	https://www.synapse.org/[#!]*Synapse:syn8612191	Complex download or application to access
Unravelling Synaptic and Metabolic Mechanisms of Cognitive Resilience in Asymptomatic Alzheimer’s Disease Across Two Alzheimer’s Disease Cohorts	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12996523/	XML	GSE147434	geo	Mouse microarray dataset comparing AD mice hippocampi between memory-impaired and memory-intact mice, where memory impairment was determined by behavioral tests such as the Morris Water Maze and Fear Conditioning tests. Mouse DEGs were identified using GEO2R with a p-value threshold of 0.05. Human gene homologs of the mouse DEGs were obtained through Ensembl Biomart. The dataset was used to validate candidate genes identified in the human ROSMAP and MSBB datasets by examining shared transcription factors, microRNAs, and biological pathways.	mouse model, Alzheimer's disease, memory behavior	Secondary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147434	Complex download
From correlation to causation: cell‐type‐specific gene regulatory networks in Alzheimer's disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12895379/	XML	syn3219045	synapse.org	Raw and processed snRNA-seq data and WGS data from the Religious Orders Study and Rush Memory and Aging Project (ROSMAP) cohort. The study utilized snRNA-seq data alongside WGS data collected from frozen dorsolateral prefrontal cortex (DLPFC) tissue samples from 272 AD patients who were pathologically diagnosed with AD using NIA-Reagan diagnosis criteria. After quality control, 947,268 nuclei in DLPFC samples across 272 AD participants were obtained and classified into six major brain cell types: excitatory neurons, inhibitory neurons, astrocytes, microglia, oligodendrocytes, and oligodendrocyte progenitor cells. These data were used to construct cell-type-specific causal gene regulatory networks.	single-nucleus RNA-seq, whole-genome sequencing, Alzheimer's disease, brain tissue	Secondary	https://www.synapse.org/Synapse:syn3219045	Complex download or application to access
Heterogeneous patterns of cognitive decline in Alzheimer’s disease across three domains of cognition	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934236/	XML		rush alzheimer's disease center's research resource sharing hub	Prospective cohort study that enrolls nuns, priests, and brothers within the United States. The studies administer nearly identical comprehensive neuropsychological assessments, including 21 tests at annual visits. Data from ROS were used in a joint longitudinal latent class mixed model to estimate cognitive trajectories across memory, language, and executive functioning domains starting at Alzheimer's dementia diagnosis. Brain donation is a requirement for enrollment in ROS, providing neuropathological measures including neuritic plaques, diffuse plaques, and neurofibrillary tangles from five brain regions.	cognitive decline, Alzheimer's disease, longitudinal neuropsychological assessments	Secondary		
Heterogeneous patterns of cognitive decline in Alzheimer’s disease across three domains of cognition	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934236/	XML		rush alzheimer's disease center's research resource sharing hub	Prospective cohort study that enrolls individuals living in northeastern Illinois. The studies administer nearly identical comprehensive neuropsychological assessments, including 21 tests at annual visits. Data from MAP were used in a joint longitudinal latent class mixed model to estimate cognitive trajectories across memory, language, and executive functioning domains starting at Alzheimer's dementia diagnosis. Brain donation is a requirement for enrollment in MAP, providing neuropathological measures including neuritic plaques, diffuse plaques, and neurofibrillary tangles from five brain regions.	cognitive decline, Alzheimer's disease, longitudinal neuropsychological assessments	Secondary		
Heterogeneous patterns of cognitive decline in Alzheimer’s disease across three domains of cognition	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12934236/	XML		rush alzheimer's disease center's research resource sharing hub	Prospective cohort study that includes older African American individuals. The studies administer nearly identical comprehensive neuropsychological assessments, including 21 tests at annual visits. Data from MARS were used in a joint longitudinal latent class mixed model to estimate cognitive trajectories across memory, language, and executive functioning domains starting at Alzheimer's dementia diagnosis. Brain donation is optional in MARS. The final sample across all three studies includes 785 individuals with 3,330 visits.	cognitive decline, Alzheimer's disease, African American participants	Secondary		
Beyond the Genotype: A Multi-Omic Analysis of APOEe4’s Role in Alzheimer’s Disease	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12632733/	XML	ROSMAP	synapse.org	Frozen brain tissue samples were obtained from participants in the Religious Orders Study and the Rush Memory and Aging Project (ROSMAP). Data for this study were derived from post-mortem prefrontal cortex brain samples. The cohort was intentionally enriched for APOEe4 carriers, who made up 69.0% (n=214) of the total sample. Notably, 19.6% of these carriers (n=42) showed no evidence of AD pathology. Molecular data were collected across all combinations of APOE genotype and AD status, with comparable sampling proportions for proteomics, DNA methylation, and polygenic risk scores (PRS).	post-mortem brain tissue, prefrontal cortex, APOE genotype, Alzheimer's disease pathology	Secondary	https://www.synapse.org/[#!]*Synapse:ROSMAP	Complex download or application to access
TAS2R38-Linked MGAM Expression in Alzheimer’s Disease: A Novel Target for Precision Drug Repurposing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12622124/	XML	ADNI	adni.loni.usc.edu	Data were obtained from the ADNI database. The ADNI was launched in 2003 as a public-private partnership. The original goal of ADNI was to test whether serial magnetic resonance imaging (MRI), positron emission tomography (PET), other biological markers, and clinical and neuropsychological assessment can be combined to measure the progression of mild cognitive impairment (MCI) and early AD. Downloaded demographic, genetic, and various longitudinal clinical assessment and biomarker data from ADNI data portal including ADNI WGS+omni 2.5M, ADNI1 GWAS, ADNIGO/2 GWAS, ADNI Test Data, and ADNI3 GWAS. Final dataset consists of 2,342 subjects with cognitive tests and imaging biomarker data including clinical dementia rating (CDR), PET-based amyloid loads (Centiloids), composite PET Tau scores, and structural T1 MRI measurements.	Alzheimer's disease, genetic data, neuroimaging biomarkers	Secondary		
TAS2R38-Linked MGAM Expression in Alzheimer’s Disease: A Novel Target for Precision Drug Repurposing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12622124/	XML	ROSMAP	www.radc.rush.edu	Religious Orders Study/Memory and Aging Project (ROSMAP) cohort data were obtained from the Rush Alzheimer's Disease Center Research Resource Sharing Hub. All demographic, clinical and pathological data for the ROSMAP cohort were obtained upon approval of the data-usage agreement. Genetic data were from variants called on whole genome sequencing (WGS) data from the Accelerating Medicines Project for Alzheimer's Disease (AMP-AD). Post-mortem gene expression data (RNA-seq) from three brain regions including dorsolateral prefrontal cortex (DLPFC), posterior cingulate cortex (PCC), and head of caudate nucleus (HCN) were downloaded. Final dataset consists of 1,177 subjects with 947 unique individuals having both gene expression and genetic data.	postmortem brain tissue, RNA-seq, Alzheimer's disease pathology	Secondary		
TAS2R38-Linked MGAM Expression in Alzheimer’s Disease: A Novel Target for Precision Drug Repurposing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12622124/	XML	ADSP	adsp.niagads.org	Additional genetic data were obtained from the Alzheimer's Disease Sequencing Project (ADSP). All genetic data including microarray or sequencing data were first converted and saved into vcf format using PLINK, and the genotypes were extracted and converted into csv format using bcftools.	whole genome sequencing, Alzheimer's disease genetics	Secondary		
TAS2R38-Linked MGAM Expression in Alzheimer’s Disease: A Novel Target for Precision Drug Repurposing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12622124/	XML	Additional validations for the identified eQTL were carried out in two external cohorts from the AMP-AD study: the Mayo RNA-seq (MAYO) cohort and the Mount Sinai Brain Bank (MSBB) cohort. Data were obtained from the AMP-AD data portal. In MSBB, expression data were available for four brain regions: frontal pole (FP), interior frontal gyrus (IFG), parahippocampus (PHG), and superior frontal gyrus (STG). For MAYO, two regions were profiled: temporal cortex (TCX) and cerebellum (CBE). Neuropathology data for these two cohorts were downloaded from synapse entry syn27000096.	synapse.org	Additional validations for the identified eQTL were carried out in two external cohorts from the AMP-AD study: the Mayo RNA-seq (MAYO) cohort and the Mount Sinai Brain Bank (MSBB) cohort. Data were obtained from the AMP-AD data portal. In MSBB, expression data were available for four brain regions: frontal pole (FP), interior frontal gyrus (IFG), parahippocampus (PHG), and superior frontal gyrus (STG). For MAYO, two regions were profiled: temporal cortex (TCX) and cerebellum (CBE). Neuropathology data for these two cohorts were downloaded from synapse entry syn27000096.	postmortem brain RNA-seq, neuropathology, multiple brain regions	Secondary	https://www.synapse.org/Synapse:syn11707420	Complex download or application to access
TAS2R38-Linked MGAM Expression in Alzheimer’s Disease: A Novel Target for Precision Drug Repurposing	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12622124/	XML	NACC	naccdata.org	Comprehensive medical records including medication data from longitudinal assessments at NACC (National Alzheimer's Coordination Center) were downloaded, with data from over 42 current and former Alzheimer's Disease research centers (ADRCs) across the US. Demographics, APOE4 allele count, longitudinal clinical cognitive assessments, comorbidities, and medication data were obtained from Uniform Data Set (UDS) V3. Subjects with type II diabetes mellitus (T2D) were chosen based on diabetes diagnosis or use of antidiabetic medications at the first visit. Final dataset contained 76 subjects in total, with 38 subjects taking MGAM inhibitors Acarbose or Miglitol, matched with non-users by a ratio of 1.	type 2 diabetes, medication records, cognitive assessments	Secondary		
Transcriptional regulation of human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12958105/	XML	GSE281458	geo	4C-seq datasets generated during the current study identifying genome-wide interactomes of the NMNAT2 promoter in undifferentiated and neuron-like SH-SY5Y cells. The 4C-seq data revealed distinct sets of interactomes interacting with the NMNAT2 promoter in these two different cell states, with more intrachromosomal interactomes found in neuron-like SH-SY5Y cells.	4C-seq, chromatin conformation, NMNAT2 regulatory regions	Primary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281458	Complex download
Transcriptional regulation of human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12958105/	XML	GSE281454	geo	RNA-seq datasets generated from undifferentiated and neuron-like SH-SY5Y cells. Gene expression data was used to identify significantly expressed transcription factors and validate the expression levels of target genes including NMNAT2, EDEM3, TPR, and ODR4.	RNA-seq, gene expression, SH-SY5Y cells	Primary	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281454	Complex download
Transcriptional regulation of human	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12958105/	XML		www.radc.rush.edu	Single-nucleus RNA sequencing data from the dorsolateral prefrontal cortex (DLPFC) of 424 Religious Orders Study and Rush Memory and Aging Project (ROSMAP) human subjects. Used to analyze cell type-specific gene-gene co-expression relationships between NMNAT2 and its associated genes in excitatory and inhibitory neurons from aged human brains.	snRNA-seq, human neurons, cognitive aging	Secondary		
